Year,Country,Winner,RunnersUp,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,10000
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,15000
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,12352
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,17565
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,9563
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,18005
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,17965
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,12582
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,13785
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,17652
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,18325
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2350
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,32565
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,69850
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,55256
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,32565
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,45865
2006,Germany,Italy,France,Germany,Portugal,147,32,64,65925
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,70325
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,84562
